cell,slice,timestamp,pdcp_rate,utilization,volume,target_rate,prb
2,2, 2022/03/14 01:56:37,243911.7813,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:38,424745.7813,0.117216129,640.653824,15345000,32
2,2, 2022/03/14 01:56:38,243911.7813,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:39,443178.6875,0.117216129,640.653824,15345000,30
2,2, 2022/03/14 01:56:39,243911.7813,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:40,0,6.35E-21,634.4827733,15345000,10
2,2, 2022/03/14 01:56:40,0,0,301.9782827,5115000,10
2,1, 2022/03/14 01:56:41,0,0,634.4827733,15345000,10
2,2, 2022/03/14 01:56:41,0,0,301.9782827,5115000,10
2,1, 2022/03/14 01:56:42,0,0,634.4827733,15345000,10
2,2, 2022/03/14 01:56:42,0,0,301.9782827,5115000,10
2,1, 2022/03/14 01:56:43,0,0,634.4827733,15345000,10
2,2, 2022/03/14 01:56:43,0,0,301.9782827,5115000,10
2,1, 2022/03/14 01:56:44,0,0,634.4827733,15345000,10
2,2, 2022/03/14 01:56:44,0,0,301.9782827,5115000,10
2,1, 2022/03/14 01:56:45,0,0,634.4827733,15345000,10
2,2, 2022/03/14 01:56:45,45875.48828,0.058607831,301.9782827,5115000,17
2,1, 2022/03/14 01:56:46,297744.7188,0.058608055,634.4827733,15345000,30
2,2, 2022/03/14 01:56:46,199866.6719,0.058608055,301.9782827,5115000,18
2,1, 2022/03/14 01:56:47,21929.49219,0.058608055,151.165888,15345000,35
2,2, 2022/03/14 01:56:47,34338.75391,0.058608055,70.73095467,5115000,22
2,1, 2022/03/14 01:56:48,14359.28809,0.11721611,151.165888,15345000,42
2,2, 2022/03/14 01:56:48,30666.38672,0.058608055,70.73095467,5115000,29
2,1, 2022/03/14 01:56:49,14359.28809,0.11721611,151.165888,15345000,52
2,2, 2022/03/14 01:56:49,30666.38672,0.058608055,70.73095467,5115000,45
